Volume (m3),Surface (m2),Head (m)
2208000000,60191353.67,129.8947557
2202000000,60079784.86,129.7824695
2196000000,59968119.28,129.6699748
2190000000,59856356.58,129.5572706
2184000000,59744496.41,129.444356
2178000000,59632538.42,129.3312299
2172000000,59520482.25,129.2178915
2166000000,59408327.54,129.1043396
2160000000,59296073.94,128.9905734
2154000000,59183721.08,128.8765919
2148000000,59071268.6,128.7623939
2142000000,58958716.13,128.6479786
2136000000,58846063.29,128.5333448
2130000000,58733309.73,128.4184916
2124000000,58620455.06,128.3034179
2118000000,58507498.92,128.1881227
2112000000,58394440.91,128.0726049
2106000000,58281280.65,127.9568634
2100000000,58168017.78,127.8408972
2094000000,58054651.88,127.7247052
2088000000,57941182.59,127.6082863
2082000000,57827609.5,127.4916394
2076000000,57713932.22,127.3747634
2070000000,57600150.36,127.2576572
2064000000,57486263.51,127.1403197
2058000000,57372271.28,127.0227497
2052000000,57258173.24,126.9049461
2046000000,57143969.01,126.7869078
2040000000,57029658.17,126.6686335
2034000000,56915240.3,126.5501222
2028000000,56800714.99,126.4313727
2022000000,56686081.81,126.3123837
2016000000,56571340.36,126.1931541
2010000000,56456490.19,126.0736827
2004000000,56341530.89,125.9539682
1998000000,56226462.02,125.8340095
1992000000,56111283.16,125.7138052
1986000000,55995993.85,125.5933542
1980000000,55880593.66,125.4726553
1974000000,55765082.16,125.351707
1968000000,55649458.88,125.2305083
1962000000,55533723.39,125.1090577
1956000000,55417875.23,124.987354
1950000000,55301913.94,124.8653959
1944000000,55185839.07,124.743182
1938000000,55069650.16,124.6207112
1932000000,54953346.73,124.4979819
1926000000,54836928.32,124.3749928
1920000000,54720394.45,124.2517427
1914000000,54603744.66,124.1282301
1908000000,54486978.46,124.0044536
1902000000,54370095.36,123.8804119
1896000000,54253094.89,123.7561035
1890000000,54135976.55,123.631527
1884000000,54018739.85,123.506681
1878000000,53901384.29,123.3815641
1872000000,53783909.37,123.2561747
1866000000,53666314.58,123.1305115
1860000000,53548599.43,123.004573
1854000000,53430763.39,122.8783575
1848000000,53312805.95,122.7518638
1842000000,53194726.59,122.6250901
1836000000,53076524.78,122.498035
1830000000,52958200.01,122.370697
1824000000,52839751.73,122.2430745
1818000000,52721179.41,122.1151659
1812000000,52602482.52,121.9869696
1806000000,52483660.5,121.8584841
1800000000,52364712.8,121.7297076
1794000000,52245638.89,121.6006387
1788000000,52126438.19,121.4712755
1782000000,52007110.16,121.3416166
1776000000,51887654.21,121.2116602
1770000000,51768069.79,121.0814045
1764000000,51648356.32,120.950848
1758000000,51528513.21,120.8199889
1752000000,51408539.89,120.6888254
1746000000,51288435.77,120.5573558
1740000000,51168200.26,120.4255784
1734000000,51047832.75,120.2934913
1728000000,50927332.65,120.1610927
1722000000,50806699.34,120.0283809
1716000000,50685932.22,119.895354
1710000000,50565030.67,119.7620101
1704000000,50443994.07,119.6283474
1698000000,50322821.79,119.4943639
1692000000,50201513.19,119.3600579
1686000000,50080067.64,119.2254273
1680000000,49958484.5,119.0904702
1674000000,49836763.12,118.9551847
1668000000,49714902.84,118.8195688
1662000000,49592903.01,118.6836205
1656000000,49470762.96,118.5473377
1650000000,49348482.02,118.4107184
1644000000,49226059.51,118.2737606
1638000000,49103494.76,118.1364622
1632000000,48980787.08,117.9988211
1626000000,48857935.77,117.8608352
1620000000,48734940.14,117.7225023
1614000000,48611799.47,117.5838203
1608000000,48488513.07,117.444787
1602000000,48365080.21,117.3054002
1596000000,48241500.16,117.1656577
1590000000,48117772.2,117.0255571
1584000000,47993895.6,116.8850964
1578000000,47869869.6,116.7442731
1572000000,47745693.46,116.6030849
