Volume (m3),Surface (m2),Head (m)
9212000000,150346424.7,192.5801516
9198000000,150190598.4,192.4870333
9184000000,150034696.6,192.3938184
9170000000,149878719.1,192.3005067
9156000000,149722665.9,192.2070978
9142000000,149566536.7,192.1135916
9128000000,149410331.4,192.0199878
9114000000,149254049.9,191.9262861
9100000000,149097692,191.8324863
9086000000,148941257.5,191.7385881
9072000000,148784746.3,191.6445913
9058000000,148628158.2,191.5504957
9044000000,148471493.1,191.4563009
9030000000,148314750.9,191.3620067
9016000000,148157931.2,191.2676128
9002000000,148001034.1,191.173119
8988000000,147844059.3,191.0785251
8974000000,147687006.8,190.9838307
8960000000,147529876.2,190.8890357
8946000000,147372667.5,190.7941396
8932000000,147215380.5,190.6991424
8918000000,147058015,190.6040436
8904000000,146900570.9,190.5088431
8890000000,146743048,190.4135405
8876000000,146585446.2,190.3181357
8862000000,146427765.2,190.2226282
8848000000,146270005,190.127018
8834000000,146112165.4,190.0313046
8820000000,145954246.1,189.9354878
8806000000,145796247,189.8395673
8792000000,145638168,189.7435429
8778000000,145480008.9,189.6474142
8764000000,145321769.5,189.5511811
8750000000,145163449.7,189.4548431
8736000000,145005049.2,189.3584001
8722000000,144846567.9,189.2618518
8708000000,144688005.7,189.1651978
8694000000,144529362.4,189.0684378
8680000000,144370637.7,188.9715717
8666000000,144211831.6,188.8745991
8652000000,144052943.8,188.7775197
8638000000,143893974.2,188.6803332
8624000000,143734922.6,188.5830393
8610000000,143575788.8,188.4856378
8596000000,143416572.7,188.3881283
8582000000,143257274,188.2905106
8568000000,143097892.6,188.1927843
8554000000,142938428.4,188.0949492
8540000000,142778881,187.9970049
8526000000,142619250.5,187.8989512
8512000000,142459536.5,187.8007877
8498000000,142299738.9,187.7025142
8484000000,142139857.5,187.6041303
8470000000,141979892.2,187.5056358
8456000000,141819842.7,187.4070303
8442000000,141659708.8,187.3083135
8428000000,141499490.5,187.2094851
8414000000,141339187.4,187.1105448
8400000000,141178799.5,187.0114923
8386000000,141018326.5,186.9123273
8372000000,140857768.2,186.8130494
8358000000,140697124.4,186.7136584
8344000000,140536395.1,186.6141539
8330000000,140375579.8,186.5145355
8316000000,140214678.6,186.4148031
8302000000,140053691.2,186.3149562
8288000000,139892617.3,186.2149945
8274000000,139731456.9,186.1149178
8260000000,139570209.7,186.0147256
8246000000,139408875.4,185.9144177
8232000000,139247454.1,185.8139936
8218000000,139085945.3,185.7134532
8204000000,138924349,185.612796
8190000000,138762664.9,185.5120217
8176000000,138600892.8,185.41113
8162000000,138439032.6,185.3101206
8148000000,138277084,185.208993
8134000000,138115046.8,185.1077471
8120000000,137952920.9,185.0063823
8106000000,137790706,184.9048984
8092000000,137628402,184.803295
8078000000,137466008.6,184.7015718
8064000000,137303525.6,184.5997285
8050000000,137140952.8,184.4977646
8036000000,136978290.1,184.3956798
8022000000,136815537.1,184.2934739
8008000000,136652693.8,184.1911463
7994000000,136489759.8,184.0886968
7980000000,136326735,183.986125
7966000000,136163619.2,183.8834306
7952000000,136000412.2,183.7806131
7938000000,135837113.7,183.6776722
7924000000,135673723.5,183.5746076
7910000000,135510241.5,183.4714189
7896000000,135346667.3,183.3681056
7882000000,135183000.9,183.2646675
7868000000,135019242,183.1611042
7854000000,134855390.3,183.0574153
7840000000,134691445.6,182.9536004
7826000000,134527407.8,182.8496591
7812000000,134363276.5,182.7455911
7798000000,134199051.7,182.641396
7784000000,134034733,182.5370733
7770000000,133870320.3,182.4326228
7756000000,133705813.2,182.328044
7742000000,133541211.7,182.2233365
7728000000,133376515.4,182.1184999
7714000000,133211724.2,182.0135339
7700000000,133046837.7,181.9084381
7686000000,132881855.9,181.803212
7672000000,132716778.4,181.6978552
7658000000,132551605,181.5923674
7644000000,132386335.6,181.4867482
7630000000,132220969.8,181.3809971
7616000000,132055507.4,181.2751137
7602000000,131889948.2,181.1690977
7588000000,131724292,181.0629486
7574000000,131558538.5,180.956666
7560000000,131392687.4,180.8502495
7546000000,131226738.7,180.7436987
7532000000,131060691.9,180.6370131
7518000000,130894546.9,180.5301924
7504000000,130728303.4,180.423236
7490000000,130561961.2,180.3161437
7476000000,130395520.1,180.2089149
7462000000,130228979.7,180.1015493
7448000000,130062340,179.9940463
7434000000,129895600.5,179.8864056
7420000000,129728761,179.7786268
7406000000,129561821.4,179.6707093
7392000000,129394781.3,179.5626528
7378000000,129227640.6,179.4544567
7364000000,129060398.9,179.3461208
7350000000,128893056,179.2376444
7336000000,128725611.6,179.1290273
7322000000,128558065.6,179.0202688
7308000000,128390417.6,178.9113686
7294000000,128222667.3,178.8023262
7280000000,128054814.6,178.6931411
7266000000,127886859.2,178.5838129
7252000000,127718800.7,178.4743412
7238000000,127550639,178.3647254
7224000000,127382373.8,178.254965
7210000000,127214004.7,178.1450597
7196000000,127045531.7,178.0350089
7182000000,126876954.2,177.9248122
7168000000,126708272.2,177.8144691
7154000000,126539485.4,177.7039791
7140000000,126370593.4,177.5933417
7126000000,126201596,177.4825564
7112000000,126032492.9,177.3716228
7098000000,125863283.9,177.2605403
7084000000,125693968.7,177.1493085
7070000000,125524546.9,177.0379269
7056000000,125355018.4,176.9263949
7042000000,125185382.8,176.8147121
7028000000,125015639.9,176.702878
7014000000,124845789.4,176.590892
7000000000,124675830.9,176.4787536
6986000000,124505764.3,176.3664624
6972000000,124335589.2,176.2540178
6958000000,124165305.3,176.1414193
6944000000,123994912.4,176.0286664
6930000000,123824410.1,175.9157586
6916000000,123653798.2,175.8026952
6902000000,123483076.4,175.6894759
6888000000,123312244.3,175.5761
6874000000,123141301.8,175.4625671
6860000000,122970248.4,175.3488766
6846000000,122799083.9,175.2350279
6832000000,122627808,175.1210206
6818000000,122456420.4,175.0068539
6804000000,122284920.8,174.8925276
6790000000,122113308.8,174.7780408
6776000000,121941584.3,174.6633932
6762000000,121769746.8,174.5485842
6748000000,121597796.1,174.4336131
6734000000,121425731.8,174.3184794
6720000000,121253553.7,174.2031826
6706000000,121081261.4,174.0877221
6692000000,120908854.6,173.9720972
6678000000,120736333,173.8563075
6664000000,120563696.3,173.7403524
6650000000,120390944.2,173.6242312
6636000000,120218076.3,173.5079434
6622000000,120045092.3,173.3914883
6608000000,119871991.9,173.2748655
6594000000,119698774.8,173.1580742
6580000000,119525440.6,173.041114
6566000000,119351989.1,172.9239841
6552000000,119178419.8,172.806684
6538000000,119004732.5,172.6892131
6524000000,118830926.8,172.5715707
6510000000,118657002.4,172.4537562
6496000000,118482958.9,172.3357691
